FILIAL;NOTA;PROD;DESCRICAO;NBM;DATA;OPERACAO;QT;PRECOVENDA;TOTAL;USUARIO;PRECO_TABELA;SITTRIBUT;CODEPTO;DESCRICAODEPTO;CODFORNEC;FORNECEDOR;CODFISCAL
13;31282;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4553;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;204813;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4243;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152760;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;2;2,49;4,98;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152603;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
13;59898;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;2;2,49;4,98;4551;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152618;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;2;2,49;4,98;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152712;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152686;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152637;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
9;126442;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4568;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;91892;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4242;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
13;159337;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4388;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;87389;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4242;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
13;72803;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4414;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
6;152652;959;REFRIGERANTE COCA COLA 350ML;22021000;2020;S;1;2,49;2,49;4345;2,49;60;5;REFRIGERANTE;3437;NORSA REFRIGERANTES LTDA.;5405
